Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
23,Potential Excessive Resource Consumption for Rest API or Secrets,Denial Of Service,Request Secrets,Request Secrets,High,Not Started,,"Does Rest API or Secrets take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
33,Potential Process Crash or Stop for Kerstel web server,Denial Of Service,Request Secrets,HTTPS Request,High,Not Started,,"Kerstel web server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
32,Potential Data Repudiation by Kerstel web server,Repudiation,Request Secrets,HTTPS Request,High,Not Started,,"Kerstel web server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
173,Data Store Inaccessible,Denial Of Service,Request Secrets,Responds Secrets,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
172,Data Flow Responds Secrets Is Potentially Interrupted,Denial Of Service,Request Secrets,Responds Secrets,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
171,Potential Process Crash or Stop for Kerstel web server,Denial Of Service,Request Secrets,Responds Secrets,High,Not Started,,"Kerstel web server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
170,Weak Access Control for a Resource,Information Disclosure,Request Secrets,Responds Secrets,High,Not Started,,Improper data protection of Secrets can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
34,Data Flow HTTPS Request Is Potentially Interrupted,Denial Of Service,Request Secrets,HTTPS Request,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
35,Kerstel web server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Request Secrets,HTTPS Request,High,Not Started,,Browser may be able to remotely execute code for Kerstel web server.,,Generated
36,Elevation by Changing the Execution Flow in Kerstel web server,Elevation Of Privilege,Request Secrets,HTTPS Request,High,Not Started,,An attacker may pass data into Kerstel web server in order to change the flow of program execution within Kerstel web server to the attacker's choosing.,,Generated
37,Cross Site Request Forgery,Elevation Of Privilege,Request Secrets,HTTPS Request,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
38,Spoofing of the Browser External Destination Entity,Spoofing,Request Secrets,HTTPS Reponds,High,Not Started,,Browser may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Browser. Consider using a standard authentication mechanism to identify the external entity.,,Generated
39,External Entity Browser Potentially Denies Receiving Data,Repudiation,Request Secrets,HTTPS Reponds,High,Not Started,,"Browser claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
40,Data Flow HTTPS Reponds Is Potentially Interrupted,Denial Of Service,Request Secrets,HTTPS Reponds,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
169,Potential Data Repudiation by Kerstel web server,Repudiation,Request Secrets,Responds Secrets,High,Not Started,,"Kerstel web server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
168,Persistent Cross Site Scripting,Tampering,Request Secrets,Responds Secrets,High,Not Started,,The web server 'Kerstel web server' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store 'Secrets' inputs and output.,,Generated
167,Cross Site Scripting,Tampering,Request Secrets,Responds Secrets,High,Not Started,,The web server 'Kerstel web server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
166,Spoofing of Source Data Store Secrets,Spoofing,Request Secrets,Responds Secrets,High,Not Started,,Secrets may be spoofed by an attacker and this may lead to incorrect data delivered to Kerstel web server. Consider using a standard authentication mechanism to identify the source data store.,,Generated
165,Data Store Inaccessible,Denial Of Service,Request Secrets,Request Secrets,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
164,Data Flow Request Secrets Is Potentially Interrupted,Denial Of Service,Request Secrets,Request Secrets,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
163,Potential Excessive Resource Consumption for Kerstel web server or Secrets,Denial Of Service,Request Secrets,Request Secrets,High,Not Started,,"Does Kerstel web server or Secrets take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
162,Data Store Denies Secrets Potentially Writing Data,Repudiation,Request Secrets,Request Secrets,High,Not Started,,"Secrets claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
161,The Secrets Data Store Could Be Corrupted,Tampering,Request Secrets,Request Secrets,High,Not Started,,Data flowing across Request Secrets may be tampered with by an attacker. This may lead to corruption of Secrets. Ensure the integrity of the data flow to the data store.,,Generated
160,Spoofing of Destination Data Store Secrets,Spoofing,Request Secrets,Request Secrets,High,Not Started,,Secrets may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Secrets. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
159,Spoofing the Kerstel web server Process,Spoofing,Request Secrets,Request Secrets,High,Not Started,,Kerstel web server may be spoofed by an attacker and this may lead to unauthorized access to Secrets. Consider using a standard authentication mechanism to identify the source process.,,Generated
181,Potential Data Repudiation by Rest API,Repudiation,Request Secrets,Query Responds,High,Not Started,,"Rest API claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
180,Data Store Inaccessible,Denial Of Service,Request Secrets,Query Request,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
179,Data Flow Query Request Is Potentially Interrupted,Denial Of Service,Request Secrets,Query Request,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
178,Data Store Denies SQL Database Potentially Writing Data,Repudiation,Request Secrets,Query Request,High,Not Started,,"SQL Database claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
177,The SQL Database Data Store Could Be Corrupted,Tampering,Request Secrets,Query Request,High,Not Started,,Data flowing across Query Request may be tampered with by an attacker. This may lead to corruption of SQL Database. Ensure the integrity of the data flow to the data store.,,Generated
176,Spoofing the Rest API Process,Spoofing,Request Secrets,Query Request,High,Not Started,,Rest API may be spoofed by an attacker and this may lead to unauthorized access to SQL Database. Consider using a standard authentication mechanism to identify the source process.,,Generated
186,Elevation by Changing the Execution Flow in Rest API,Elevation Of Privilege,Request Secrets,Query Responds,High,Not Started,,An attacker may pass data into Rest API in order to change the flow of program execution within Rest API to the attacker's choosing.,,Generated
185,Rest API May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Request Secrets,Query Responds,High,Not Started,,SQL Database may be able to remotely execute code for Rest API.,,Generated
184,Data Store Inaccessible,Denial Of Service,Request Secrets,Query Responds,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
183,Data Flow Query Responds Is Potentially Interrupted,Denial Of Service,Request Secrets,Query Responds,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
182,Potential Process Crash or Stop for Rest API,Denial Of Service,Request Secrets,Query Responds,High,Not Started,,"Rest API crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
194,Data Flow Server-to-Client Response Is Potentially Interrupted,Denial Of Service,Request Secrets,Server-to-Client Response,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
193,External Entity SignalR Potentially Denies Receiving Data,Repudiation,Request Secrets,Server-to-Client Response,High,Not Started,,"SignalR claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
192,Spoofing of the SignalR External Destination Entity,Spoofing,Request Secrets,Server-to-Client Response,High,Not Started,,SignalR may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of SignalR. Consider using a standard authentication mechanism to identify the external entity.,,Generated
115,Data Flow Email Request  Is Potentially Interrupted,Denial Of Service,Request Secrets,"Email Request ",High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
114,External Entity Mail API Potentially Denies Receiving Data,Repudiation,Request Secrets,"Email Request ",High,Not Started,,"Mail API claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
113,Spoofing of the Mail API External Destination Entity,Spoofing,Request Secrets,"Email Request ",High,Not Started,,Mail API may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Mail API. Consider using a standard authentication mechanism to identify the external entity.,,Generated
191,Elevation by Changing the Execution Flow in Rest API,Elevation Of Privilege,Request Secrets,Client-to-Server Communication,High,Not Started,,An attacker may pass data into Rest API in order to change the flow of program execution within Rest API to the attacker's choosing.,,Generated
190,Rest API May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Request Secrets,Client-to-Server Communication,High,Not Started,,SignalR may be able to remotely execute code for Rest API.,,Generated
189,Data Flow Client-to-Server Communication Is Potentially Interrupted,Denial Of Service,Request Secrets,Client-to-Server Communication,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
188,Potential Process Crash or Stop for Rest API,Denial Of Service,Request Secrets,Client-to-Server Communication,High,Not Started,,"Rest API crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
187,Potential Data Repudiation by Rest API,Repudiation,Request Secrets,Client-to-Server Communication,High,Not Started,,"Rest API claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
107,Elevation by Changing the Execution Flow in Rest API,Elevation Of Privilege,Request Secrets,"Email Response ",High,Not Started,,An attacker may pass data into Rest API in order to change the flow of program execution within Rest API to the attacker's choosing.,,Generated
106,Rest API May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Request Secrets,"Email Response ",High,Not Started,,Mail API may be able to remotely execute code for Rest API.,,Generated
105,Data Flow Email Response  Is Potentially Interrupted,Denial Of Service,Request Secrets,"Email Response ",High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
104,Potential Process Crash or Stop for Rest API,Denial Of Service,Request Secrets,"Email Response ",High,Not Started,,"Rest API crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
103,Potential Data Repudiation by Rest API,Repudiation,Request Secrets,"Email Response ",High,Not Started,,"Rest API claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
90,Spoofing the Kerstel web server Process,Spoofing,Request Secrets,HTTPS Request,High,Not Started,,Kerstel web server may be spoofed by an attacker and this may lead to unauthorized access to Rest API. Consider using a standard authentication mechanism to identify the source process.,,Generated
91,Potential Data Repudiation by Rest API,Repudiation,Request Secrets,HTTPS Request,High,Not Started,,"Rest API claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
92,Potential Process Crash or Stop for Rest API,Denial Of Service,Request Secrets,HTTPS Request,High,Not Started,,"Rest API crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
93,Data Flow HTTPS Request Is Potentially Interrupted,Denial Of Service,Request Secrets,HTTPS Request,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
94,Rest API May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Request Secrets,HTTPS Request,High,Not Started,,Kerstel web server may be able to remotely execute code for Rest API.,,Generated
95,Elevation by Changing the Execution Flow in Rest API,Elevation Of Privilege,Request Secrets,HTTPS Request,High,Not Started,,An attacker may pass data into Rest API in order to change the flow of program execution within Rest API to the attacker's choosing.,,Generated
96,Cross Site Request Forgery,Elevation Of Privilege,Request Secrets,HTTPS Request,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
97,Spoofing the Rest API Process,Spoofing,Request Secrets,HTTPS Responds,High,Not Started,,Rest API may be spoofed by an attacker and this may lead to unauthorized access to Kerstel web server. Consider using a standard authentication mechanism to identify the source process.,,Generated
98,Potential Data Repudiation by Kerstel web server,Repudiation,Request Secrets,HTTPS Responds,High,Not Started,,"Kerstel web server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
99,Potential Process Crash or Stop for Kerstel web server,Denial Of Service,Request Secrets,HTTPS Responds,High,Not Started,,"Kerstel web server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
100,Data Flow HTTPS Responds Is Potentially Interrupted,Denial Of Service,Request Secrets,HTTPS Responds,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
101,Kerstel web server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Request Secrets,HTTPS Responds,High,Not Started,,Rest API may be able to remotely execute code for Kerstel web server.,,Generated
102,Elevation by Changing the Execution Flow in Kerstel web server,Elevation Of Privilege,Request Secrets,HTTPS Responds,High,Not Started,,An attacker may pass data into Kerstel web server in order to change the flow of program execution within Kerstel web server to the attacker's choosing.,,Generated
142,Spoofing of Source Data Store Cookies,Spoofing,Request Secrets,Request Opgeslagen Cookies,High,Not Started,,Cookies may be spoofed by an attacker and this may lead to incorrect data delivered to Kerstel web server. Consider using a standard authentication mechanism to identify the source data store.,,Generated
143,Cross Site Scripting,Tampering,Request Secrets,Request Opgeslagen Cookies,High,Not Started,,The web server 'Kerstel web server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
144,Persistent Cross Site Scripting,Tampering,Request Secrets,Request Opgeslagen Cookies,High,Not Started,,The web server 'Kerstel web server' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store 'Cookies' inputs and output.,,Generated
145,Potential Data Repudiation by Kerstel web server,Repudiation,Request Secrets,Request Opgeslagen Cookies,High,Not Started,,"Kerstel web server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
146,Weak Access Control for a Resource,Information Disclosure,Request Secrets,Request Opgeslagen Cookies,High,Not Started,,Improper data protection of Cookies can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
147,Potential Process Crash or Stop for Kerstel web server,Denial Of Service,Request Secrets,Request Opgeslagen Cookies,High,Not Started,,"Kerstel web server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
148,Data Flow Request Opgeslagen Cookies Is Potentially Interrupted,Denial Of Service,Request Secrets,Request Opgeslagen Cookies,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
149,Data Store Inaccessible,Denial Of Service,Request Secrets,Request Opgeslagen Cookies,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
150,Kerstel web server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Request Secrets,Request Opgeslagen Cookies,High,Not Started,,Cookies may be able to remotely execute code for Kerstel web server.,,Generated
151,Elevation by Changing the Execution Flow in Kerstel web server,Elevation Of Privilege,Request Secrets,Request Opgeslagen Cookies,High,Not Started,,An attacker may pass data into Kerstel web server in order to change the flow of program execution within Kerstel web server to the attacker's choosing.,,Generated
152,Spoofing the Kerstel web server Process,Spoofing,Request Secrets,Responds Cookies,High,Not Started,,Kerstel web server may be spoofed by an attacker and this may lead to unauthorized access to Cookies. Consider using a standard authentication mechanism to identify the source process.,,Generated
153,Spoofing of Destination Data Store Cookies,Spoofing,Request Secrets,Responds Cookies,High,Not Started,,Cookies may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Cookies. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
154,The Cookies Data Store Could Be Corrupted,Tampering,Request Secrets,Responds Cookies,High,Not Started,,Data flowing across Responds Cookies may be tampered with by an attacker. This may lead to corruption of Cookies. Ensure the integrity of the data flow to the data store.,,Generated
155,Data Store Denies Cookies Potentially Writing Data,Repudiation,Request Secrets,Responds Cookies,High,Not Started,,"Cookies claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
156,Potential Excessive Resource Consumption for Kerstel web server or Cookies,Denial Of Service,Request Secrets,Responds Cookies,High,Not Started,,"Does Kerstel web server or Cookies take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
157,Data Flow Responds Cookies Is Potentially Interrupted,Denial Of Service,Request Secrets,Responds Cookies,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
158,Data Store Inaccessible,Denial Of Service,Request Secrets,Responds Cookies,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
174,Kerstel web server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Request Secrets,Responds Secrets,High,Not Started,,Secrets may be able to remotely execute code for Kerstel web server.,,Generated
175,Elevation by Changing the Execution Flow in Kerstel web server,Elevation Of Privilege,Request Secrets,Responds Secrets,High,Not Started,,An attacker may pass data into Kerstel web server in order to change the flow of program execution within Kerstel web server to the attacker's choosing.,,Generated
